,title,artist,genre,year,bpm,energy,dance,dB,duration,popularity
156,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,81,57,-6,215,74
157,Under Control,Calvin Harris,dance pop,2013,126,92,54,-3,184,74
158,Everybody Talks,Neon Trees,indie pop,2013,155,92,47,-4,177,74
159,"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,77,-7,228,73
160,Best Song Ever,One Direction,boy band,2013,118,88,65,-3,200,73
161,Kiss You,One Direction,boy band,2013,90,93,63,-3,183,73
162,Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,93,57,-4,213,72
163,Lose Yourself to Dance,Daft Punk,electro,2013,100,66,83,-8,354,72
164,Work Bitch,Britney Spears,dance pop,2013,128,82,63,-7,248,71
165,Brave,Sara Bareilles,acoustic pop,2013,185,84,55,-4,221,71
166,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,93,63,-4,258,70
167,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,76,67,-4,230,70
168,Beneath Your Beautiful,Labrinth,pop,2013,84,52,56,-6,272,70
169,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,68,66,-7,252,70
170,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95,53,78,-7,236,69
171,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,75,52,-6,215,69
172,The Way,Ariana Grande,dance pop,2013,82,88,65,-3,227,68
173,Suit & Tie,Justin Timberlake,dance pop,2013,102,60,80,-4,326,68
174,#thatPOWER,will.i.am,dance pop,2013,128,61,80,-6,280,68
175,I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,71,-3,157,67
176,Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,87,72,-3,209,67
177,Daylight,Maroon 5,pop,2013,120,67,66,-5,225,66
178,Love Somebody,Maroon 5,pop,2013,120,78,68,-6,230,65
179,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,62,76,-6,241,65
180,Move,Little Mix,dance pop,2013,121,74,85,-5,224,63
181,Walks Like Rihanna,The Wanted,boy band,2013,126,82,56,-3,202,62
182,Rock N Roll,Avril Lavigne,canadian pop,2013,184,96,47,-3,207,61
183,Heartbreaker,Justin Bieber,canadian pop,2013,105,52,56,-7,263,61
184,Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,58,-6,277,60
185,Next To Me,Emeli Sandé,dance pop,2013,95,80,67,-5,197,60
186,Made In The USA,Demi Lovato,dance pop,2013,87,86,58,-4,196,60
187,Clown,Emeli Sandé,dance pop,2013,130,23,45,-8,221,60
188,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,81,55,-6,271,59
189,TKO,Justin Timberlake,dance pop,2013,138,68,61,-7,424,58
190,Come & Get It,Selena Gomez,dance pop,2013,80,79,55,-4,232,57
191,Live It Up,Jennifer Lopez,dance pop,2013,128,73,69,-5,244,57
192,We Own The Night,The Wanted,boy band,2013,104,94,55,-4,206,56
193,Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,permanent wave,2013,136,45,28,-8,236,55
194,What About Love,Austin Mahone,dance pop,2013,100,78,63,-7,203,54
